"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2144","Product Details for Sauce Labs Fleece Jacket","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3536","Product Details for Sauce Labs Bike Light","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2437","Products Ordering","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2240","Product Details for Sauce Labs Bolt T-Shirt","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2053","invalid login","chromium","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","2025","Product Details for Sauce Labs Onesie","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3521","Product Details for Sauce Labs Fleece Jacket","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","1870","invalid login","webkit","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","2241","locked out user login","chromium","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","2194","Product Details for Sauce Labs Backpack","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3279","Full Order Flow","chromium","2026-05-31","passed","2026-05-31","","uiTests\FullOrder.spec.ts","",""
"","3297","Product Details for Sauce Labs Onesie","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2015","valid login","webkit","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","1940","locked out user login","webkit","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","2491","Products Ordering","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3178","Product Details for Sauce Labs Backpack","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","1899","valid login","chromium","2026-05-31","passed","2026-05-31","","uiTests\LoginFeature.spec.ts","",""
"","2615","Product Details for Sauce Labs Bike Light","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3476","Product Details for Sauce Labs Bolt T-Shirt","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2762","Product Details for Test.allTheThings() T-Shirt (Red)","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","6994","Full Order Flow","webkit","2026-05-31","passed","2026-05-31","","uiTests\FullOrder.spec.ts","",""
"","2285","Products Count and Names","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","3412","Product Details for Test.allTheThings() T-Shirt (Red)","webkit","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
"","2006","Products Count and Names","chromium","2026-05-31","passed","2026-05-31","","uiTests\ProductSpecifications.spec.ts","",""
